"RWANDA HEALTH SERVICES TARIFF IN PRIVATE FACILITIES 2025-2027
 FOR RAMA, MMI, MIS/UR AND PRIVATE INSURANCE AND NON INSURED RWANDANS",,,
RHIC,Procedure name,"RAMA, MMI, MIS/UR",PRIVATE INSURANCE& OTHER INSURANCE
RHIC-CONS-001,Ward visit by specialist,"5,470","5,993"
RHIC-CONS-002,Ward visit by GP,"2,900","3,207"
RHIC-CONS-003,Follow up consultations by specialist,"7,699","8,431"
RHIC-CONS-004,Follow up consultations by GP,"3,793","4,185"
RHIC-CONS-005,Consultation paramedical masters and above,"4,221","4,728"
RHIC-CONS-006,Consultation paramedical A1,"2,244","2,557"
RHIC-CONS-007,Consultation paramedical A0,"3,582","4,010"
RHIC-CONS-008,Consultation by nurse A2,-,-
RHIC-CONS-009,Consultation by nurse A1,-,-
RHIC-CONS-010,Consultation by nurse A0,-,-
RHIC-CONS-011,"Consultation by a specialist, senior consultant","14,566","15,942"
RHIC-CONS-012,Consultation by a specialist,"12,675","13,887"
RHIC-CONS-013,Consultation by a general practioner,"6,199","6,855"
RHIC-CONS-014,"Consultation by psychiatric, senior consultant","18,602","20,360"
RHIC-CONS-015,Consultation by psychiatric,"16,171","17,718"
RHIC-CONS-016,"Consultation by ophthalmologist, senior consultant","15,292","16,730"
RHIC-CONS-017,Consultation by ophthalmologist,"13,401","14,675"
RHIC-DENT-001,Apexification,"72,457","79,343"
RHIC-DENT-002,Apexinogenesis,"72,457","79,343"
RHIC-DENT-003,Apicectomy,"60,442","66,166"
RHIC-DENT-004,Retentive post,"46,341","50,604"
RHIC-DENT-005,Core build up,"33,656","36,738"
RHIC-DENT-006,Composite veneers,"47,577","52,065"
RHIC-DENT-007,Coronal radicular dental reconstruction,"63,167","69,245"
RHIC-DENT-008,Crown and bridge (per unit),"223,955","244,365"
RHIC-DENT-009,Curetage of periodontal pocket per quadrant,"13,690","15,114"
RHIC-DENT-010,Curretage of alveolar socket per quadrant,"11,573","12,735"
RHIC-DENT-011,Cyst enucleation per quadrant,"73,211","80,162"
RHIC-DENT-012,Debridement of dry sockets,"24,036","26,399"
RHIC-DENT-013,Direct pulp capping,"26,086","28,666"
RHIC-DENT-014,Enameloplasty per tooth,"10,871","11,895"
RHIC-DENT-015,External bleaching - full tray per arch,"97,452","106,160"
RHIC-DENT-016,External bleaching - chairside per arch,"89,172","97,160"
RHIC-DENT-017,Extraction adult,"20,859","22,907"
RHIC-DENT-018,Extraction of an ectopic tooth,"47,163","51,615"
RHIC-DENT-019,Extraction of ankylosed tooth,"60,299","66,011"
RHIC-DENT-020,Extraction of decidous tooth,"17,918","19,671"
RHIC-DENT-021,Extraction of fully impacted tooth,"87,714","96,043"
RHIC-DENT-022,Extraction of retained root/s,"58,144","63,668"
RHIC-DENT-023,Fixed orthodontic appliance per arch,"449,212","489,054"
RHIC-DENT-024,Flouride application,"11,346","12,450"
RHIC-DENT-025,Frenectomy,"10,232","11,278"
RHIC-DENT-026,Gingivectomy per quadrant,"27,916","30,617"
RHIC-DENT-027,Gingivoplasty per quadrant,"47,113","51,678"
RHIC-DENT-028,Gross scaling and polishing per quadrant,"17,008","18,721"
RHIC-DENT-029,"Impression taking and casting, silicone based, per arch","14,458","15,989"
RHIC-DENT-030,"Impression taking and casting, arginate, per arch","10,202","11,245"
RHIC-DENT-031,Incision and drainage of dento alveolar abscess,"33,377","36,513"
RHIC-DENT-032,Indirect pulp caping,"21,194","23,270"
RHIC-DENT-033,Internal bleaching,"32,173","35,205"
RHIC-DENT-034,Operculectomy,"11,560","12,643"
RHIC-DENT-035,Orthodontic wires adjustment per arch,"29,806","32,632"
RHIC-DENT-036,Permanent filling with composite-large,"47,999","52,523"
RHIC-DENT-037,Permanent filling with composite-medium,"20,188","22,333"
RHIC-DENT-038,Permanent filling with composite-small,"15,712","17,351"
RHIC-DENT-039,Filling with glass ionomer cement (GIC)-large,"33,601","36,874"
RHIC-DENT-040,Filling with glass ionomer cement (GIC)-medium,"19,239","21,302"
RHIC-DENT-041,Filling with glass ionomer cement (GIC)-small,"14,982","16,558"
RHIC-DENT-042,Pulpotomy,"60,787","66,541"
RHIC-DENT-043,Reconstruction of fractured crown,"74,165","81,199"
RHIC-DENT-044,Reimplantation of avulsed tooth,"112,197","122,889"
RHIC-DENT-045,Root canal therapy-single canal,"181,140","197,828"
RHIC-DENT-046,Root canal therapy-three or more canals,"303,362","331,614"
RHIC-DENT-047,Root canal therapy-two canals,"248,001","270,971"
RHIC-DENT-048,Temporary filling with zoe,"13,563","14,977"
RHIC-DENT-049,Tooth desensitisation,"29,997","32,800"
RHIC-DENT-050,Wire splinting per quadrant,"45,342","49,636"
RHIC-DENT-051,Panoramic dental radiography,"26,200","28,712"
RHIC-DENT-052,CBCT,"61,527","67,111"
RHIC-DENT-053,Intra oral peri apical x-ray,"15,443","16,903"
RHIC-MXFS-001,Zygomatic arch closed reduction,"118,240","129,107"
RHIC-MXFS-002,Vestibuloplasty of mouth & other preprosthetic procedures,"304,781","332,746"
RHIC-MXFS-003,Unilateral open reduction+ fixation mandible condyle fracture,"214,032","233,521"
RHIC-MXFS-004,Unilateral dissimpaction,"319,310","348,246"
RHIC-MXFS-005,Unilateral condylectomy with coronoidectomy,"286,057","312,687"
RHIC-MXFS-006,Unilateral condylectomy,"359,453","392,464"
RHIC-MXFS-007,Transposition of salivary duct,"199,580","217,812"
RHIC-MXFS-008,Transorbital subcranial osteotomy of bone of face,"884,289","964,109"
RHIC-MXFS-009,Total maxillectomy,"570,913","623,483"
RHIC-MXFS-010,Total mandibulectomy with reconstruction,"853,034","931,306"
RHIC-MXFS-011,Total mandibulectomy,"609,190","665,088"
RHIC-MXFS-012,Tmj arthrocentesis,"57,402","62,783"
RHIC-MXFS-013,Temporo-mandibular joint: reconstruction for dysfunction,"521,155","568,813"
RHIC-MXFS-014,Temporomandibular joint reconstruction,"374,433","408,747"
RHIC-MXFS-015,Sinus lift,"127,394","139,056"
RHIC-MXFS-016,Sequestrectomy of the alveolar bone,"59,155","64,591"
RHIC-MXFS-017,Sequestrectomy of maxilla,"348,759","380,841"
RHIC-MXFS-018,Sequestrectomy of mandible,"247,164","269,826"
RHIC-MXFS-019,Segmental mandibulectomy,"260,786","284,633"
RHIC-MXFS-020,Repair of orbital floor (blow-out fracture),"362,434","395,705"
RHIC-MXFS-021,Repair of cutaneous fistula of a salivary gland,"143,355","156,405"
RHIC-MXFS-022,Removal of plate 1 or more for internal fixation for maxilla or mandible or zygoma,"112,616","122,993"
RHIC-MXFS-023,Removal of metal implant (plates),"123,672","135,011"
RHIC-MXFS-024,Removal of arch bars to the maxilla or mandible,"122,549","133,692"
RHIC-MXFS-025,Relocation of submandibular gland duct to control drooling,"346,545","378,435"
RHIC-MXFS-026,Reduction of TMJ dislocation,"49,671","54,224"
RHIC-MXFS-027,Reduction & fixation of fracture of nasoethmoid complex of bones through existing wound,"300,918","328,059"
RHIC-MXFS-028,Reduction & fixation of facial fracture using hemicoronal / bicoronal access,"426,152","464,964"
RHIC-MXFS-029,Reduction & fixation of comminuted fracture of nasoethmoid complex of bones,"746,792","814,656"
RHIC-MXFS-030,"Reconstruction, entire or majority of forehead and/or supraorbital rims; with grafts (allograft or prosthetic material)","879,352","959,327"
